"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatioCount","BgRatioCount"
"abru00240","Metabolism","Nucleotide metabolism","abru00240","Pyrimidine metabolism - Argiope bruennichi (wasp spider)","13/780","40/3741",0.0569409759377506,0.626350735315257,0.610276488519433,"129966482/129968370/129976114/129964009/129963351/129965871/129968698/129969332/129969584/129985176/129983621/129958386/129960029",13,13,40
"abru00410","Metabolism","Metabolism of other amino acids","abru00410","beta-Alanine metabolism - Argiope bruennichi (wasp spider)","9/780","27/3741",0.0906581262803713,0.794165871819371,0.773784929480379,"129962808/129965728/129966856/129969332/129975079/129987548/129958386/129958410/129960815",9,9,27
"abru04120","Genetic Information Processing","Folding, sorting and degradation","abru04120","Ubiquitin mediated proteolysis - Argiope bruennichi (wasp spider)","27/780","102/3741",0.100183358962922,0.794165871819371,0.773784929480379,"129958747/129968423/129984600/129978327/129960141/129962702/129963267/129962720/129968515/129974937/129975059/129974980/129981653/129981058/129983886/129989250/129957459/129956423/129958757/129961102/129969114/129968665/129976418/129958284/129958439/129960489/129960888",27,27,102
"abru00380","Metabolism","Amino acid metabolism","abru00380","Tryptophan metabolism - Argiope bruennichi (wasp spider)","10/780","32/3741",0.111144751376011,0.794165871819371,0.773784929480379,"129969697/129966778/129966643/129966856/129975651/129983788/129958196/129961967/129962661/129983641",10,10,32
"abru04350","Environmental Information Processing","Signal transduction","abru04350","TGF-beta signaling pathway - Argiope bruennichi (wasp spider)","17/780","61/3741",0.116713928435162,0.794165871819371,0.773784929480379,"129964241/129968423/129963030/129976707/129961192/129965766/129968535/129971116/129974980/129983648/129983793/129988145/129957083/129959987/129981051/129958284/129959627",17,17,61
"abru04140","Cellular Processes","Transport and catabolism","abru04140","Autophagy - animal - Argiope bruennichi (wasp spider)","35/780","139/3741",0.121359151352731,0.794165871819371,0.773784929480379,"129975974/129978751/129976707/129958247/129965636/129965586/129969400/129969368/129968625/129968865/129968678/129969083/129968767/129971383/129971621/129972964/129975637/129975265/129976076/129980882/129980563/129983781/129989322/129958443/129960538/129961096/129960069/129960751/129976633/129961772/129971188/129980564/129981051/129988289/129958385",35,35,139
"abru00900","Metabolism","Metabolism of terpenoids and polyketides","abru00900","Terpenoid backbone biosynthesis - Argiope bruennichi (wasp spider)","7/780","21/3741",0.12839568273284,0.794165871819371,0.773784929480379,"129977493/129956880/129954654/129969693/129976037/129976629/129976580",7,7,21
"abru01250","Metabolism","Global and overview maps","abru01250","Biosynthesis of nucleotide sugars - Argiope bruennichi (wasp spider)","12/780","41/3741",0.128484495771178,0.794165871819371,0.773784929480379,"129967160/129984401/129965913/129969483/129971674/129976146/129981885/129958442/129958115/129958985/129960460/129972537",12,12,41
"abru02010","Environmental Information Processing","Membrane transport","abru02010","ABC transporters - Argiope bruennichi (wasp spider)","12/780","41/3741",0.128484495771178,0.794165871819371,0.773784929480379,"129957580/129961580/129966076/129966170/129965887/129972301/129976524/129980885/129987921/129960075/129965478/129966693",12,12,41
"abru04148",NA,NA,"abru04148","Efferocytosis - Argiope bruennichi (wasp spider)","26/780","101/3741",0.135829930126236,0.794165871819371,0.773784929480379,"129964084/129975974/129962869/129962755/129964053/129963739/129966007/129965642/129967084/129971536/129972704/129976524/129983799/129987896/129960538/129960747/129960621/129959931/129959991/129980332/129971188/129975169/129981467/129981051/129988289/129960929",26,26,101
"abru00983","Metabolism","Xenobiotics biodegradation and metabolism","abru00983","Drug metabolism - other enzymes - Argiope bruennichi (wasp spider)","15/780","54/3741",0.137918349722218,0.794165871819371,0.773784929480379,"129968370/129976114/129960213/129964009/129969332/129969584/129975001/129975002/129975003/129975004/129957670/129958386/129959113/129958189/129960297",15,15,54
"abru04068","Environmental Information Processing","Signal transduction","abru04068","FoxO signaling pathway - Argiope bruennichi (wasp spider)","21/780","80/3741",0.144393794876249,0.794165871819371,0.773784929480379,"129974995/129989154/129981514/129955414/129962755/129964295/129965729/129965856/129976379/129983648/129983788/129983793/129983781/129989304/129957083/129958443/129976633/129972450/129981051/129988582/129989157",21,21,80
"abru03015","Genetic Information Processing","Translation","abru03015","mRNA surveillance pathway - Argiope bruennichi (wasp spider)","19/780","74/3741",0.185703201558571,0.914049681759692,0.890592121418752,"129959315/129966661/129965024/129966163/129976656/129991128/129956109/129962761/129964125/129966951/129965608/129969482/129968892/129975878/129984428/129957704/129961738/129977621/129960855",19,19,74
"abru00982","Metabolism","Xenobiotics biodegradation and metabolism","abru00982","Drug metabolism - cytochrome P450 - Argiope bruennichi (wasp spider)","17/780","66/3741",0.198703643388909,0.914049681759692,0.890592121418752,"129963086/129975001/129975002/129975003/129975004/129975651/129957670/129957602/129958196/129959113/129958189/129960765/129960912/129960297/129963088/129972558/129960364",17,17,66
"abru04145","Cellular Processes","Transport and catabolism","abru04145","Phagosome - Argiope bruennichi (wasp spider)","24/780","97/3741",0.201305076734696,0.914049681759692,0.890592121418752,"129978379/129965493/129971397/129976437/129976424/129968666/129968890/129969368/129968625/129968593/129969083/129972976/129976559/129980563/129960538/129962140/129961772/129966791/129966985/129965635/129972808/129980564/129988180/129960435",24,24,97
"abru00430","Metabolism","Metabolism of other amino acids","abru00430","Taurine and hypotaurine metabolism - Argiope bruennichi (wasp spider)","9/780","32/3741",0.207675521173846,0.914049681759692,0.890592121418752,"129976247/129963086/129957602/129960765/129960912/129963088/129989198/129960364/129960815",9,9,32
"abru03083","Genetic Information Processing","Chromosome","abru03083","Polycomb repressive complex - Argiope bruennichi (wasp spider)","12/780","45/3741",0.213129947847927,0.914049681759692,0.890592121418752,"129963773/129963240/129965766/129969581/129972733/129981067/129985169/129983648/129988414/129958265/129970995/129987942",12,12,45
"abru00350","Metabolism","Amino acid metabolism","abru00350","Tyrosine metabolism - Argiope bruennichi (wasp spider)","8/780","28/3741",0.213513711399022,0.914049681759692,0.890592121418752,"129965778/129968694/129972841/129975651/129958196/129972558/129971349/129960890",8,8,28
"abru00760","Metabolism","Metabolism of cofactors and vitamins","abru00760","Nicotinate and nicotinamide metabolism - Argiope bruennichi (wasp spider)","7/780","24/3741",0.219069758438273,0.914049681759692,0.890592121418752,"129966482/129971368/129962755/129963351/129960029/129957784/129980907",7,7,24
"abru00360","Metabolism","Amino acid metabolism","abru00360","Phenylalanine metabolism - Argiope bruennichi (wasp spider)","5/780","16/3741",0.227554208763879,0.917801975347647,0.894248118651035,"129968694/129972841/129975651/129958196/129971349",5,5,16
"abru00010","Metabolism","Carbohydrate metabolism","abru00010","Glycolysis / Gluconeogenesis - Argiope bruennichi (wasp spider)","12/780","46/3741",0.237352340784504,0.926439781771775,0.902664250182156,"129964944/129964295/129966856/129976146/129980518/129956454/129958442/129958985/129960460/129972558/129959066/129958204",12,12,46
"abru04820",NA,NA,"abru04820","Cytoskeleton in muscle cells - Argiope bruennichi (wasp spider)","20/780","82/3741",0.249922009830889,0.945017599673051,0.920765299376961,"129960184/129961045/129963547/129968768/129975885/129957479/129967008/129981640/129983937/129988230/129958396/129959455/129961970/129962701/129966587/129965450/129965619/129967080/129960803/129960115",20,20,82
"abru03250","Genetic Information Processing","Information processing in viruses","abru03250","Viral life cycle - HIV-1 - Argiope bruennichi (wasp spider)","9/780","34/3741",0.26632966419615,0.954851393780914,0.930346725562961,"129955046/129965571/129969436/129968835/129972875/129983648/129956856/129969268/129983706",9,9,34
"abru04141","Genetic Information Processing","Folding, sorting and degradation","abru04141","Protein processing in endoplasmic reticulum - Argiope bruennichi (wasp spider)","38/780","165/3741",0.268305350318604,0.954851393780914,0.930346725562961,"129974832/129968423/129966021/129958247/129960141/129958558/129962610/129963453/129962746/129965391/129968890/129968830/129976015/129975178/129976049/129976000/129981871/129980835/129981077/129983769/129984551/129988413/129988624/129957165/129957118/129957099/129959059/129960758/129966974/129976633/129963075/129963326/129969226/129968665/129976418/129981699/129958284/129958858",38,38,165
"abru03008","Genetic Information Processing","Translation","abru03008","Ribosome biogenesis in eukaryotes - Argiope bruennichi (wasp spider)","17/780","71/3741",0.301285146512368,0.961248016785291,0.936579189908244,"129988981/129980953/129991469/129989732/129960891/129969055/129976279/129981063/129985228/129983707/129989381/129988223/129989435/129957023/129969268/129980522/129983706",17,17,71
"abru04070","Environmental Information Processing","Signal transduction","abru04070","Phosphatidylinositol signaling system - Argiope bruennichi (wasp spider)","15/780","62/3741",0.302285660378776,0.961248016785291,0.936579189908244,"129984733/129965717/129965928/129968673/129968505/129968678/129971422/129971650/129972287/129975644/129983781/129964330/129961772/129969407/129959980",15,15,62
"abru00230","Metabolism","Nucleotide metabolism","abru00230","Purine metabolism - Argiope bruennichi (wasp spider)","22/780","94/3741",0.306213901781749,0.961248016785291,0.936579189908244,"129975604/129963092/129966482/129971368/129962614/129964009/129963351/129968213/129969584/129975033/129976146/129981701/129983880/129984531/129957238/129958985/129960029/129960368/129958428/129983927/129957393/129959637",22,22,94
"abru03040","Genetic Information Processing","Transcription","abru03040","Spliceosome - Argiope bruennichi (wasp spider)","32/780","140/3741",0.307091542910564,0.961248016785291,0.936579189908244,"129980640/129976343/129969392/129974001/129957874/129961982/129957365/129958558/129956109/129962610/129965391/129969610/129968888/129971505/129971410/129976015/129975178/129981525/129981815/129980876/129980969/129980835/129981077/129984195/129987951/129989381/129987927/129954486/129958329/129962668/129968487/129981234",32,32,140
"abru04310","Environmental Information Processing","Signal transduction","abru04310","Wnt signaling pathway - Argiope bruennichi (wasp spider)","25/780","108/3741",0.310951820741009,0.961248016785291,0.936579189908244,"129960184/129964084/129976316/129963723/129968423/129954388/129989167/129962755/129965776/129968716/129983884/129983648/129985148/129983789/129987857/129988557/129957083/129959476/129958224/129980332/129976633/129962688/129969407/129958284/129958671",25,25,108
"abru00051","Metabolism","Carbohydrate metabolism","abru00051","Fructose and mannose metabolism - Argiope bruennichi (wasp spider)","7/780","27/3741",0.32598280404116,0.961248016785291,0.936579189908244,"129969113/129969483/129971674/129981885/129958442/129960460/129972537",7,7,27
"abru00270","Metabolism","Amino acid metabolism","abru00270","Cysteine and methionine metabolism - Argiope bruennichi (wasp spider)","11/780","46/3741",0.358524602711555,0.961248016785291,0.936579189908244,"129961808/129968620/129972788/129981647/129988449/129957060/129957475/129958668/129960747/129971349/129980570",11,11,46
"abru03460","Genetic Information Processing","Replication and repair","abru03460","Fanconi anemia pathway - Argiope bruennichi (wasp spider)","9/780","37/3741",0.361712926298679,0.961248016785291,0.936579189908244,"129960043/129972941/129976574/129980550/129981311/129984264/129957085/129988318/129960025",9,9,37
"abru00514","Metabolism","Glycan biosynthesis and metabolism","abru00514","Other types of O-glycan biosynthesis - Argiope bruennichi (wasp spider)","7/780","28/3741",0.363472501588539,0.961248016785291,0.936579189908244,"129969278/129967297/129974940/129961028/129970995/129988715/129956867",7,7,28
"abru00564","Metabolism","Lipid metabolism","abru00564","Glycerophospholipid metabolism - Argiope bruennichi (wasp spider)","19/780","83/3741",0.363616948874092,0.961248016785291,0.936579189908244,"129984733/129987920/129981446/129976267/129989443/129964141/129964053/129968683/129971619/129971362/129975153/129981142/129980803/129980991/129984752/129958626/129964330/129971411/129975169",19,19,83
"abru00520","Metabolism","Carbohydrate metabolism","abru00520","Amino sugar and nucleotide sugar metabolism - Argiope bruennichi (wasp spider)","14/780","60/3741",0.365433130348127,0.961248016785291,0.936579189908244,"129967160/129984401/129963478/129965913/129969483/129971674/129976146/129981885/129958442/129958115/129958985/129960460/129972537/129988504",14,14,60
"abru03420","Genetic Information Processing","Replication and repair","abru03420","Nucleotide excision repair - Argiope bruennichi (wasp spider)","14/780","60/3741",0.365433130348127,0.961248016785291,0.936579189908244,"129960511/129968423/129966970/129967103/129968778/129972941/129976049/129975141/129984264/129984440/129957085/129963514/129971656/129960888",14,14,60
"abru00562","Metabolism","Carbohydrate metabolism","abru00562","Inositol phosphate metabolism - Argiope bruennichi (wasp spider)","11/780","47/3741",0.387843881183845,0.998491694111602,0.97286707038277,"129965717/129968673/129968505/129968678/129971422/129975644/129983781/129961772/129969407/129988718/129959980",11,11,47
"abru00071","Metabolism","Lipid metabolism","abru00071","Fatty acid degradation - Argiope bruennichi (wasp spider)","10/780","43/3741",0.406672222166441,0.998814463203132,0.973181556143982,"129963778/129965728/129966856/129989001/129987896/129965457/129963777/129971735/129972558/129983641",10,10,43
"abru03013","Genetic Information Processing","Translation","abru03013","Nucleocytoplasmic transport - Argiope bruennichi (wasp spider)","20/780","90/3741",0.414362633384187,0.998814463203132,0.973181556143982,"129969643/129971417/129991128/129956109/129964003/129963983/129965605/129969482/129968892/129968608/129984399/129987950/129957704/129960726/129977621/129963601/129969268/129976611/129983706/129957098",20,20,90
"abru04330","Environmental Information Processing","Signal transduction","abru04330","Notch signaling pathway - Argiope bruennichi (wasp spider)","8/780","35/3741",0.450405868097285,0.998814463203132,0.973181556143982,"129984176/129954388/129981929/129980969/129983918/129983648/129988557/129960263",8,8,35
"abru04144","Cellular Processes","Transport and catabolism","abru04144","Endocytosis - Argiope bruennichi (wasp spider)","34/780","159/3741",0.465261529761144,0.998814463203132,0.973181556143982,"129974995/129955046/129958558/129962584/129962720/129962610/129963135/129965391/129968515/129976015/129976088/129975178/129974980/129981293/129980835/129981077/129983793/129989224/129987881/129988442/129959077/129958164/129960538/129960810/129961098/129963884/129971275/129966924/129965961/129980915/129988679/129959984/129960115/129959627",34,34,159
"abru00531","Metabolism","Glycan biosynthesis and metabolism","abru00531","Glycosaminoglycan degradation - Argiope bruennichi (wasp spider)","6/780","26/3741",0.465899134336418,0.998814463203132,0.973181556143982,"129960213/129960922/129960065/129962412/129984049/129988031",6,6,26
"abru04980",NA,NA,"abru04980","Cobalamin transport and metabolism - Argiope bruennichi (wasp spider)","3/780","12/3741",0.471729394959363,0.998814463203132,0.973181556143982,"129957357/129971527/129972301",3,3,12
"abru00480","Metabolism","Metabolism of other amino acids","abru00480","Glutathione metabolism - Argiope bruennichi (wasp spider)","15/780","69/3741",0.475236996433347,0.998814463203132,0.973181556143982,"129976247/129961622/129964009/129973008/129975001/129975002/129975003/129975004/129981647/129987860/129988449/129959113/129958189/129960297/129989198",15,15,69
"abru00980","Metabolism","Xenobiotics biodegradation and metabolism","abru00980","Metabolism of xenobiotics by cytochrome P450 - Argiope bruennichi (wasp spider)","9/780","41/3741",0.492559992393395,0.998814463203132,0.973181556143982,"129975001/129975002/129975003/129975004/129957670/129959113/129958189/129960297/129972558",9,9,41
"abru00981","Metabolism","Metabolism of terpenoids and polyketides","abru00981","Insect hormone biosynthesis - Argiope bruennichi (wasp spider)","8/780","37/3741",0.519035487529029,0.998814463203132,0.973181556143982,"129973318/129971823/129972378/129981265/129983704/129972910/129975992/129976196",8,8,37
"abru00561","Metabolism","Lipid metabolism","abru00561","Glycerolipid metabolism - Argiope bruennichi (wasp spider)","14/780","66/3741",0.520277216868836,0.998814463203132,0.973181556143982,"129984733/129976267/129966856/129972284/129975153/129988260/129958063/129958295/129960599/129961113/129964330/129968854/129972775/129972961",14,14,66
"abru03410","Genetic Information Processing","Replication and repair","abru03410","Base excision repair - Argiope bruennichi (wasp spider)","9/780","42/3741",0.524441463750093,0.998814463203132,0.973181556143982,"129984724/129978751/129963271/129966970/129967103/129984113/129960340/129963514/129971656",9,9,42
"abru00740","Metabolism","Metabolism of cofactors and vitamins","abru00740","Riboflavin metabolism - Argiope bruennichi (wasp spider)","4/780","18/3741",0.535461076780803,0.998814463203132,0.973181556143982,"129966482/129963351/129972033/129984091",4,4,18
"abru03018","Genetic Information Processing","Folding, sorting and degradation","abru03018","RNA degradation - Argiope bruennichi (wasp spider)","13/780","63/3741",0.567420134869358,0.998814463203132,0.973181556143982,"129957365/129961656/129965530/129966836/129971401/129974969/129976609/129981281/129981063/129983892/129989190/129960153/129983744",13,13,63
"abru04150","Environmental Information Processing","Signal transduction","abru04150","mTOR signaling pathway - Argiope bruennichi (wasp spider)","24/780","117/3741",0.573901982289669,0.998814463203132,0.973181556143982,"129976707/129964918/129955414/129965729/129965952/129968845/129968716/129968593/129968767/129972976/129971383/129971129/129972536/129980577/129985148/129983789/129983701/129983781/129961096/129960281/129971385/129981051/129988582/129958671",24,24,117
"abru00061","Metabolism","Lipid metabolism","abru00061","Fatty acid biosynthesis - Argiope bruennichi (wasp spider)","4/780","19/3741",0.581804813922874,0.998814463203132,0.973181556143982,"129963778/129984183/129965457/129963777",4,4,19
"abru00340","Metabolism","Amino acid metabolism","abru00340","Histidine metabolism - Argiope bruennichi (wasp spider)","4/780","19/3741",0.581804813922874,0.998814463203132,0.973181556143982,"129966856/129975651/129958196/129966555",4,4,19
"abru00640","Metabolism","Carbohydrate metabolism","abru00640","Propanoate metabolism - Argiope bruennichi (wasp spider)","6/780","29/3741",0.58213646568011,0.998814463203132,0.973181556143982,"129963637/129962808/129965728/129975079/129984621/129959066",6,6,29
"abru01232","Metabolism","Global and overview maps","abru01232","Nucleotide metabolism - Argiope bruennichi (wasp spider)","12/780","59/3741",0.5908031920188,0.998814463203132,0.973181556143982,"129966482/129971368/129968370/129976114/129964009/129963351/129965871/129969584/129983880/129983621/129960029/129983927",12,12,59
"abru01240","Metabolism","Global and overview maps","abru01240","Biosynthesis of cofactors - Argiope bruennichi (wasp spider)","26/780","128/3741",0.596388413299953,0.998814463203132,0.973181556143982,"129984401/129962090/129960213/129966778/129965519/129965800/129965913/129966968/129968694/129969584/129969483/129972033/129981840/129981647/129983880/129985176/129983859/129957684/129957475/129958785/129958668/129961967/129976555/129975707/129989448/129989143",26,26,128
"abru00510","Metabolism","Glycan biosynthesis and metabolism","abru00510","N-Glycan biosynthesis - Argiope bruennichi (wasp spider)","8/780","40/3741",0.61554519562393,0.998814463203132,0.973181556143982,"129974832/129961092/129965584/129968810/129969251/129958148/129968847/129957103",8,8,40
"abru00040","Metabolism","Carbohydrate metabolism","abru00040","Pentose and glucuronate interconversions - Argiope bruennichi (wasp spider)","4/780","20/3741",0.62536412919004,0.998814463203132,0.973181556143982,"129984401/129960213/129965913/129960000",4,4,20
"abru00511","Metabolism","Glycan biosynthesis and metabolism","abru00511","Other glycan degradation - Argiope bruennichi (wasp spider)","4/780","20/3741",0.62536412919004,0.998814463203132,0.973181556143982,"129991590/129984357/129975760/129958547",4,4,20
"abru00512","Metabolism","Glycan biosynthesis and metabolism","abru00512","Mucin type O-glycan biosynthesis - Argiope bruennichi (wasp spider)","3/780","15/3741",0.63361910132034,0.998814463203132,0.973181556143982,"129969278/129961028/129956867",3,3,15
"abru00910","Metabolism","Energy metabolism","abru00910","Nitrogen metabolism - Argiope bruennichi (wasp spider)","3/780","15/3741",0.63361910132034,0.998814463203132,0.973181556143982,"129963322/129981040/129984806",3,3,15
"abru00590","Metabolism","Lipid metabolism","abru00590","Arachidonic acid metabolism - Argiope bruennichi (wasp spider)","13/780","66/3741",0.640626798500704,0.998814463203132,0.973181556143982,"129976247/129961890/129964141/129963550/129968576/129976450/129981691/129957012/129957013/129957670/129962559/129971735/129975169",13,13,66
"abru00513","Metabolism","Glycan biosynthesis and metabolism","abru00513","Various types of N-glycan biosynthesis - Argiope bruennichi (wasp spider)","8/780","41/3741",0.645359790346484,0.998814463203132,0.973181556143982,"129974832/129961092/129961845/129965584/129958148/129968847/129957103/129958547",8,8,41
"abru00250","Metabolism","Amino acid metabolism","abru00250","Alanine, aspartate and glutamate metabolism - Argiope bruennichi (wasp spider)","7/780","36/3741",0.648057479634867,0.998814463203132,0.973181556143982,"129962614/129981040/129983880/129984806/129988106/129958580/129960815",7,7,36
"abru04146","Cellular Processes","Transport and catabolism","abru04146","Peroxisome - Argiope bruennichi (wasp spider)","18/780","92/3741",0.661658411269225,0.998814463203132,0.973181556143982,"129981388/129957357/129963778/129965728/129968787/129972301/129975193/129975079/129981796/129983788/129989001/129959949/129965457/129963777/129963672/129976671/129981755/129956969",18,18,92
"abru00670","Metabolism","Metabolism of cofactors and vitamins","abru00670","One carbon pool by folate - Argiope bruennichi (wasp spider)","3/780","16/3741",0.679242805673181,0.998814463203132,0.973181556143982,"129976731/129983621/129963206",3,3,16
"abru04136","Cellular Processes","Transport and catabolism","abru04136","Autophagy - other - Argiope bruennichi (wasp spider)","5/780","27/3741",0.691992669826519,0.998814463203132,0.973181556143982,"129968865/129968767/129976076/129961772/129958385",5,5,27
"abru00330","Metabolism","Amino acid metabolism","abru00330","Arginine and proline metabolism - Argiope bruennichi (wasp spider)","10/780","53/3741",0.692704008544606,0.998814463203132,0.973181556143982,"129966885/129966856/129969073/129975651/129988449/129987548/129958196/129958410/129972078/129980570",10,10,53
"abru00970","Genetic Information Processing","Translation","abru00970","Aminoacyl-tRNA biosynthesis - Argiope bruennichi (wasp spider)","8/780","43/3741",0.700827272522411,0.998814463203132,0.973181556143982,"129978537/129963269/129965575/129969342/129968712/129975859/129962475/129975816",8,8,43
"abru00053","Metabolism","Carbohydrate metabolism","abru00053","Ascorbate and aldarate metabolism - Argiope bruennichi (wasp spider)","2/780","11/3741",0.702717103236149,0.998814463203132,0.973181556143982,"129960213/129966856",2,2,11
"abru00592","Metabolism","Lipid metabolism","abru00592","alpha-Linolenic acid metabolism - Argiope bruennichi (wasp spider)","3/780","17/3741",0.720507980877683,0.998814463203132,0.973181556143982,"129964141/129965728/129975169",3,3,17
"abru01200","Metabolism","Global and overview maps","abru01200","Carbon metabolism - Argiope bruennichi (wasp spider)","22/780","116/3741",0.729164140536946,0.998814463203132,0.973181556143982,"129968620/129964944/129963637/129957117/129962808/129966155/129965728/129966643/129966982/129968787/129971225/129981040/129983788/129987860/129957475/129956454/129958442/129960460/129966692/129972558/129959066/129958204",22,22,116
"abru00030","Metabolism","Carbohydrate metabolism","abru00030","Pentose phosphate pathway - Argiope bruennichi (wasp spider)","4/780","23/3741",0.737684549800155,0.998814463203132,0.973181556143982,"129966982/129976146/129987860/129958985",4,4,23
"abru00450","Metabolism","Metabolism of other amino acids","abru00450","Selenocompound metabolism - Argiope bruennichi (wasp spider)","2/780","12/3741",0.748914644891507,0.998814463203132,0.973181556143982,"129975604/129969260",2,2,12
"abru00260","Metabolism","Amino acid metabolism","abru00260","Glycine, serine and threonine metabolism - Argiope bruennichi (wasp spider)","8/780","45/3741",0.75038273827103,0.998814463203132,0.973181556143982,"129961808/129968620/129961803/129966155/129966856/129975651/129957475/129958196",8,8,45
"abru00310","Metabolism","Amino acid metabolism","abru00310","Lysine degradation - Argiope bruennichi (wasp spider)","8/780","45/3741",0.75038273827103,0.998814463203132,0.973181556143982,"129966643/129966856/129972293/129981903/129981000/129958474/129960866/129983641",8,8,45
"abru03060","Genetic Information Processing","Folding, sorting and degradation","abru03060","Protein export - Argiope bruennichi (wasp spider)","5/780","29/3741",0.753567147846173,0.998814463203132,0.973181556143982,"129964150/129960363/129963075/129975458/129960328",5,5,29
"abru00534","Metabolism","Glycan biosynthesis and metabolism","abru00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Argiope bruennichi (wasp spider)","3/780","18/3741",0.757517361697059,0.998814463203132,0.973181556143982,"129966659/129966730/129988090",3,3,18
"abru00785","Metabolism","Metabolism of cofactors and vitamins","abru00785","Lipoic acid metabolism - Argiope bruennichi (wasp spider)","3/780","18/3741",0.757517361697059,0.998814463203132,0.973181556143982,"129966643/129971225/129984621",3,3,18
"abru00591","Metabolism","Lipid metabolism","abru00591","Linoleic acid metabolism - Argiope bruennichi (wasp spider)","8/780","46/3741",0.772888716807045,0.998814463203132,0.973181556143982,"129971563/129964141/129968576/129972418/129957670/129960878/129975169/129980816",8,8,46
"abru00020","Metabolism","Carbohydrate metabolism","abru00020","Citrate cycle (TCA cycle) - Argiope bruennichi (wasp spider)","5/780","30/3741",0.780694944910922,0.998814463203132,0.973181556143982,"129963637/129957117/129964295/129966643/129971225",5,5,30
"abru00620","Metabolism","Carbohydrate metabolism","abru00620","Pyruvate metabolism - Argiope bruennichi (wasp spider)","7/780","41/3741",0.781543584093274,0.998814463203132,0.973181556143982,"129957117/129964295/129966856/129956454/129972558/129959066/129958204",7,7,41
"abru00603","Metabolism","Glycan biosynthesis and metabolism","abru00603","Glycosphingolipid biosynthesis - globo and isoglobo series - Argiope bruennichi (wasp spider)","2/780","13/3741",0.788797317435926,0.998814463203132,0.973181556143982,"129961831/129960647",2,2,13
"abru00600","Metabolism","Lipid metabolism","abru00600","Sphingolipid metabolism - Argiope bruennichi (wasp spider)","6/780","37/3741",0.814230427865571,0.998814463203132,0.973181556143982,"129966544/129981210/129966010/129981475/129987935/129987939",6,6,37
