ID,Eggsac,age,Treatment,Observer,livingspiderlings,deadspiderlings,eggs,clutchsize,survivalrate,deadspiderlingspercentage,eggsperscentage,Opening
E17-P-41,1,82,Moderate,marina,126,20,0,146,86.3,13.7,0,mid-winter
E17-P-42,1,86,Cold,marna,218,6,0,224,9.732.142.857,2.678.571.429,0,post-winter
E17-P-43,2,70,Moderate,Brian,112,20,0,132,8.484.848.485,1.515.151.515,0,post-winter
E17-P-44,2,71,Cold,Birte,122,0,0,122,100,0,0,mid-winter
E17-P-44,1,91,Cold,marina,176,4,0,180,97.78,2.22,0,mid-winter
E17-P-46,1,78,Warm,Birte,184,16,0,200,92,8,0,post-winter
E17-P-46,2,59,Cold,marina,97,20,2,119,81.51,16.81,1.68,mid-winter
E17-P-47,2,68,Moderate,Brian,150,10,0,160,93.75,6.25,0,post-winter
E17-P-47,1,81,Cold,marina,209,13,0,222,94.14,5.86,0,mid-winter
E17-P-48,2,67,Cold,Birte,120,20,1,141,8.510.638.298,1.418.439.716,0.709219858,post-winter
E17-P-48,1,81,Moderate,marina,168,2,0,170,98.82,1.18,0,mid-winter
E17-P-49,1,86,Warm,Angelique,98,13,0,111,8.828.828.829,1.171.171.171,0,post-winter
E17-P-49,2,65,Moderate,marina,0,17,43,60,0,2.833.333.333,7.166.666.667,post-winter
E17-P-5,1,81,Warm,Brian,160,3,0,163,981.595.092,1.840.490.798,0,post-winter
E17-P-51,2,59,Cold,Birte ,79,51,0,130,6.076.923.077,3.923.076.923,0,post-winter
E17-P-51,1,74,Cold,Angelique,143,18,2,163,8.773.006.135,1.104.294.479,1.226.993.865,post-winter
E17-P-54,1,91,Moderate,Birte,175,14,0,189,9.259.259.259,7.407.407.407,0,post-winter
E17-P-54,2,65,Warm,marina,0,123,0,123,0,100,0,mid-winter
E17-P-55,1,83,Moderate,marina,87,5,0,92,94.57,5.43,0,mid-winter
E17-P-55,2,67,Moderate,marina,71,3,9,83,85.54,3.61,10.84,mid-winter
E17-P-56,2,70,Moderate,Angelique,0,158,1,159,0,9.937.106.918,0.628930818,post-winter
E17-P-56,1,86,Warm,marina,106,2,0,108,98.15,1.85,0,mid-winter
E17-P-57,1,86,Cold,marina,35,11,0,46,76.09,23.91,0,mid-winter
E17-P-58,2,67,Cold,Birte,128,13,0,141,90.78,9.22,0,mid-winter
E17-P-58,1,83,Warm,marina,126,0,0,126,100,0,0,mid-winter
E17-P-59,2,78,Moderate,marina,98,45,2,145,675.862.069,3.103.448.276,1.379.310.345,post-winter
E17-P-59,1,91,Warm,marina,139,1,0,140,99.29,0.71,0,mid-winter
E17-P-6,1,82,Moderate,marina,111,1,0,112,99.11,0.89,0,mid-winter
E17-P-6,2,59,Moderate,marina,66,4,12,82,80.49,4.88,14.63,mid-winter
E17-P-60,1,83,Moderate,marina,112,0,0,112,100,0,0,mid-winter
E17-P-60,2,70,Moderate,marina,205,0,0,205,100,0,0,mid-winter
E17-P-61,1,80,Warm,marina,215,2,0,217,99.08,0.92,0,mid-winter
E17-P-61,2,64,Warm,marina,139,1,0,140,99.29,0.71,0,mid-winter
E17-P-62,1,91,Moderate,Brian,122,17,0,139,8.776.978.417,1.223.021.583,0,post-winter
E17-P-62,2,79,Warm,marina,115,43,0,158,7.278.481.013,2.721.518.987,0,post-winter
E17-P-63,2,67,Moderate,Brian,27,19,22,68,3.970.588.235,2.794.117.647,3.235.294.118,post-winter
E17-P-63,1,90,Cold,marina,145,4,0,149,97.32,2.68,0,mid-winter
E17-P-64,2,72,Cold,Angelique,124,24,0,148,8.378.378.378,1.621.621.622,0,post-winter
E17-P-65,2,65,Cold,marina,56,10,0,66,8.484.848.485,1.515.151.515,0,post-winter
E17-P-65,1,80,Moderate,marina,117,1,0,118,99.15,0.85,0,mid-winter
E17-P-66,2,76,Warm,Angelique,0,6,137,143,0,4.195.804.196,958.041.958,post-winter
E17-P-66,1,91,Cold,marina,88,11,3,102,86.27,10.78,2.94,mid-winter
E17-P-67,1,85,Cold,marina,54,24,22,100,54,24,22,mid-winter
E17-P-68,1,78,Warm,marina,202,1,0,203,99.51,0.49,0,mid-winter
E17-P-68,2,62,Warm,marina,148,0,0,148,100,0,0,mid-winter
E17-P-69,1,94,Warm,Biran ,189,5,0,194,9.742.268.041,2.577.319.588,0,post-winter
E17-P-69,2,77,Cold,marina,130,33,0,163,7.975.460.123,2.024.539.877,0,post-winter
E17-P7,1,80,Moderate,Angelique,154,10,0,164,9.390.243.902,6.097.560.976,0,post-winter
E17-P-7,2,65,Cold,Birte ,157,30,0,187,8.395.721.925,1.604.278.075,0,post-winter
E17-P-70,1,95,Cold,Birte,161,23,0,184,87.5,12.5,0,post-winter
E17-P-70,2,74,Warm,marina,54,4,0,58,93.1,6.9,0,mid-winter
E17-P-71,1,93,Cold,Angelique,154,9,0,163,9.447.852.761,5.521.472.393,0,post-winter
E17-P-71,2,74,Warm,Angelique,90,26,0,116,775.862.069,224.137.931,0,post-winter
E17-P-72,1,93,Moderate,Angelique,0,0,0,0,0,0,0,post-winter
E17-P-72,2,76,Cold,marina,185,0,0,185,100,0,0,mid-winter
E17-P-73,1,93,Moderate,Angelique,33,49,34,116,2.844.827.586,4.224.137.931,2.931.034.483,post-winter
E17-P-73,2,75,Warm,marina,79,56,14,149,5.302.013.423,3.758.389.262,9.395.973.154,post-winter
E17-P-74,2,77,Warm,marina,167,2,0,169,98.82,1.18,0,mid-winter
E17-P-75,1,93,Warm,Angelique,91,30,1,122,7.459.016.393,2.459.016.393,0.819672131,post-winter
E17-P-76,1,94,Moderate,Angelique,229,86,0,315,726.984.127,273.015.873,0,post-winter
E17-P-76,2,77,Warm,Angelique,222,22,0,244,9.098.360.656,9.016.393.443,0,post-winter
E17-P-77,1,96,Moderate,marina,111,103,0,214,5.186.915.888,4.813.084.112,0,post-winter
E17-P-77,2,75,Warm,marina,153,13,0,166,92.17,7.83,0,mid-winter
E17-P-78,2,78,Cold,Angelique,126,32,0,158,7.974.683.544,2.025.316.456,0,post-winter
E17-P-79,1,94,Moderate,Angelique,66,8,0,74,8.918.918.919,1.081.081.081,0,post-winter
E17-P-8,1,80,Moderate,marina,128,51,0,179,7.150.837.989,2.849.162.011,0,post-winter
E17-P-8,2,67,Cold,Birte,154,6,0,160,96.25,3.75,0,mid-winter
E17-P-80,1,93,Moderate,Angelique,128,18,0,146,8.767.123.288,1.232.876.712,0,post-winter
E17-P-80,2,75,Cold,marina,84,6,18,108,7.777.777.778,5.555.555.556,1.666.666.667,post-winter
E17-P-81,1,93,Warm,marina,110,0,0,110,100,0,0,mid-winter
E17-P-81,2,79,Warm,marina,106,5,0,111,95.5,4.5,0,mid-winter
E17-P-82,1,93,Moderate,marina,120,5,0,125,96,4,0,mid-winter
E17-P-82,2,77,Moderate,marina,151,8,0,159,94.97,5.03,0,mid-winter
E17-P-83,1,96,Moderate,Birte,366,10,0,376,9.734.042.553,2.659.574.468,0,post-winter
E17-P-83,2,77,Warm,Angelique,222,15,0,237,9.367.088.608,6.329.113.924,0,post-winter
E17-P-84,1,94,Warm,marina,150,0,0,150,100,0,0,mid-winter
E17-P-84,2,76,Warm,marina,135,1,0,136,99.26,0.74,0,mid-winter
E17-P-85,2,74,Moderate,Birte,97,7,6,110,8.818.181.818,6.363.636.364,5.454.545.455,post-winter
E17-P-85,1,95,Cold,marina,276,1,0,277,9.963.898.917,0.36101083,0,post-winter
E17-P-86,2,75,Moderate,Brian,85,8,48,141,6.028.368.794,5.673.758.865,3.404.255.319,post-winter
E17-P-86,1,95,Warm,marina,269,0,0,269,100,0,0,mid-winter
E17-P-87,2,77,Warm,marina,20,23,139,182,10.99,12.64,76.37,mid-winter
E17-P-87,1,95,Warm,marina,0,47,35,82,0,57.32,42.68,mid-winter
E17-P-88,1,95,Cold,marina,167,61,0,228,7.324.561.404,2.675.438.596,0,post-winter
E17-P-88,2,77,Warm,marina,207,7,0,214,96.73,3.27,0,mid-winter
E17-P-89,1,94,Cold,marina,164,11,0,175,9.371.428.571,6.285.714.286,0,post-winter
E17-P-89,2,72,Moderate,marina,93,6,0,99,93.94,6.06,0,mid-winter
E17-P-9,1,81,Cold,marina,157,24,0,181,8.674.033.149,1.325.966.851,0,post-winter
E17-P-9,2,68,Moderate,marina,178,7,0,185,96.22,3.78,0,mid-winter
E17-P-90,1,94,Cold,Birte,266,31,0,297,8.956.228.956,1.043.771.044,0,post-winter
E17-P-91,2,74,Warm,Angelique,227,21,0,248,9.153.225.806,8.467.741.935,0,post-winter
E17-P-91,1,94,Cold,marina,234,0,0,234,100,0,0,mid-winter
