ID,Treatment,dryweight,fat-freeweight,difference,Fatpercentage,Opening,Eggsac
E17-P-70,Warm,3.851,3.485,0.366,9.504024929,Dec,2
E17-P-70,Cold,3.404,3.161,0.243,7.1386604,Feb,1
E17-P-71,Warm,2.679,2.502,0.177,6.606942889,Feb,2
E17-P-71,Cold,2.635,2.421,0.214,8.121442125,Feb,1
E17-P-72,Cold,3.043,2.784,0.259,8.511337496,Dec,2
E17-P-73,Warm,4.124,3.631,0.493,11.95441319,Feb,2
E17-P-73,Moderate,2.6,2.366,0.234,9,Feb,1
E17-P-74,Warm,2.826,2.452,0.374,13.23425336,Dec,2
E17-P-75,Warm,2.231,2.094,0.137,6.140744061,Feb,1
E17-P-76,Warm,2.928,2.672,0.256,8.743169399,Feb,2
E17-P-76,Moderate,2.869,2.655,0.214,7.459044963,Feb,1
E17-P-77,Warm,2.809,2.546,0.263,9.362762549,Dec,2
E17-P-77,Moderate,2.443,2.28,0.163,6.672124437,Feb,1
E17-P-78,Cold,2.604,2.394,0.21,8.064516129,Feb,2
E17-P-79,Moderate,2.494,2.328,0.166,6.655974338,Feb,1
E17-P-8,Moderate,3.356,3.037,0.319,9.505363528,Feb,1
E17-P-80,Moderate,3.573,3.122,0.451,12.62244612,Feb,1
E17-P-80,Cold,4.528,3.971,0.557,12.30123675,Feb,2
E17-P-81,Warm,2.58,2.382,0.198,7.674418605,Dec,2
E17-P-82,Moderate,2.94,2.67,0.27,9.183673469,Dec,1
E17-P-82,Moderate,3.128,2.752,0.376,12.02046036,Dec,2
E17-P-83,Warm,3.076,2.861,0.215,6.989596879,Feb,2
E17-P-83,Moderate,3.174,2.961,0.213,6.710775047,Feb,1
E17-P-84,Warm,3.052,2.627,0.425,13.92529489,Dec,1
E17-P-84,Warm,2.88,2.58,0.3,10.41666667,Dec,2
E17-P-85,Moderate,4.793,4.331,0.462,9.639056958,Feb,2
E17-P-85,Cold,3.637,3.303,0.334,9.183392906,Feb,1
E17-P-86,Warm,3.131,2.676,0.455,14.53209837,Dec,1
E17-P-86,Moderate,3.394,2.969,0.425,12.52209782,Feb,2
E17-P-88,Warm,3.378,3.005,0.373,11.04203671,Dec,2
E17-P-88,Cold,2.799,2.612,0.187,6.680957485,Feb,1
E17-P-89,Moderate,3.401,3.17,0.231,6.792119965,Feb,2
E17-P-89,Cold,2.852,2.639,0.213,7.468443198,Dec,1
E17-P-9,Moderate,2.792,2.519,0.273,9.777936963,Dec,2
E17-P-9,Cold,3.3,3.016,0.284,8.606060606,Feb,1
E17-P-90,Cold,2.947,2.741,0.206,6.990159484,Feb,1
E17-P-91,Warm,3.267,3.011,0.256,7.835935109,Feb,2
